Prompt_Type,Prompt,Chatbot,Response,Accuracy,Relevance,Clarity,Creativity,Response_Time,User_Satisfaction
Coding,Sample prompt about Coding 16,Gemini,Response by Gemini to prompt 16,0,3,1,5,3.41,4
Coding,Sample prompt about Coding 16,Perplexity,Response by Perplexity to prompt 16,1,4,2,1,3.79,5
Coding,Sample prompt about Coding 16,DeepSeek,Response by DeepSeek to prompt 16,0,5,3,5,2.23,4
Factual,Sample prompt about Factual 17,ChatGPT,Response by ChatGPT to prompt 17,1,3,5,1,3.98,1
Factual,Sample prompt about Factual 17,Gemini,Response by Gemini to prompt 17,1,5,1,4,4.84,4
Factual,Sample prompt about Factual 17,Perplexity,Response by Perplexity to prompt 17,1,3,4,2,1.71,1
Factual,Sample prompt about Factual 17,DeepSeek,Response by DeepSeek to prompt 17,0,4,1,4,2.11,2
Logical,Sample prompt about Logical 18,ChatGPT,Response by ChatGPT to prompt 18,0,4,1,5,2.78,2
Logical,Sample prompt about Logical 18,Gemini,Response by Gemini to prompt 18,1,3,2,4,2.84,3
Logical,Sample prompt about Logical 18,Perplexity,Response by Perplexity to prompt 18,0,4,5,2,2.68,1
Logical,Sample prompt about Logical 18,DeepSeek,Response by DeepSeek to prompt 18,0,1,4,2,2.18,5
Logical,Sample prompt about Logical 19,ChatGPT,Response by ChatGPT to prompt 19,1,4,4,1,4.84,2
Logical,Sample prompt about Logical 19,Gemini,Response by Gemini to prompt 19,1,1,5,3,3.8,1
Logical,Sample prompt about Logical 19,Perplexity,Response by Perplexity to prompt 19,0,5,1,1,1.98,4
Logical,Sample prompt about Logical 19,DeepSeek,Response by DeepSeek to prompt 19,0,2,4,3,4.34,3
Coding,Sample prompt about Coding 20,ChatGPT,Response by ChatGPT to prompt 20,0,3,4,1,2.18,2
Coding,Sample prompt about Coding 20,Gemini,Response by Gemini to prompt 20,1,4,5,3,3.1,1
Coding,Sample prompt about Coding 20,Perplexity,Response by Perplexity to prompt 20,1,4,3,1,4.08,1
Coding,Sample prompt about Coding 20,DeepSeek,Response by DeepSeek to prompt 20,0,4,3,3,4.3,2
Creative,Sample prompt about Creative 21,ChatGPT,Response by ChatGPT to prompt 21,0,5,3,4,4.16,1
Creative,Sample prompt about Creative 21,Gemini,Response by Gemini to prompt 21,1,1,1,4,4.34,1
Creative,Sample prompt about Creative 21,Perplexity,Response by Perplexity to prompt 21,1,3,5,4,4.72,2
Creative,Sample prompt about Creative 21,DeepSeek,Response by DeepSeek to prompt 21,0,4,1,1,3.31,4
Ambiguous,Sample prompt about Ambiguous 22,ChatGPT,Response by ChatGPT to prompt 22,1,4,1,2,4.97,1
Ambiguous,Sample prompt about Ambiguous 22,Gemini,Response by Gemini to prompt 22,1,4,1,4,2.97,1
Ambiguous,Sample prompt about Ambiguous 22,Perplexity,Response by Perplexity to prompt 22,1,3,1,2,4.84,1
Ambiguous,Sample prompt about Ambiguous 22,DeepSeek,Response by DeepSeek to prompt 22,0,2,5,4,2.19,4
Creative,Sample prompt about Creative 23,ChatGPT,Response by ChatGPT to prompt 23,1,1,4,4,2.56,2
Creative,Sample prompt about Creative 23,Gemini,Response by Gemini to prompt 23,0,5,1,2,3.98,5
Creative,Sample prompt about Creative 23,Perplexity,Response by Perplexity to prompt 23,0,2,5,5,2.04,1
Creative,Sample prompt about Creative 23,DeepSeek,Response by DeepSeek to prompt 23,0,2,1,4,3.7,2
Factual,Sample prompt about Factual 24,ChatGPT,Response by ChatGPT to prompt 24,1,3,1,1,4.68,3
Factual,Sample prompt about Factual 24,Gemini,Response by Gemini to prompt 24,0,5,1,4,3.9,5
Factual,Sample prompt about Factual 24,Perplexity,Response by Perplexity to prompt 24,1,3,5,5,2.07,5
Factual,Sample prompt about Factual 24,DeepSeek,Response by DeepSeek to prompt 24,1,2,3,2,4.12,5
Creative,Sample prompt about Creative 25,ChatGPT,Response by ChatGPT to prompt 25,0,4,5,2,4.71,1
Creative,Sample prompt about Creative 25,Gemini,Response by Gemini to prompt 25,1,2,4,3,2.61,1
Creative,Sample prompt about Creative 25,Perplexity,Response by Perplexity to prompt 25,1,2,3,2,1.68,2
Creative,Sample prompt about Creative 25,DeepSeek,Response by DeepSeek to prompt 25,1,4,2,2,3.91,2
Factual,Sample prompt about Factual 26,ChatGPT,Response by ChatGPT to prompt 26,1,4,3,5,2.39,3
Factual,Sample prompt about Factual 26,Gemini,Response by Gemini to prompt 26,1,2,3,1,4.61,3
Factual,Sample prompt about Factual 26,Perplexity,Response by Perplexity to prompt 26,0,4,4,2,1.97,2
Factual,Sample prompt about Factual 26,DeepSeek,Response by DeepSeek to prompt 26,1,1,1,1,4.39,2
Factual,Sample prompt about Factual 27,ChatGPT,Response by ChatGPT to prompt 27,0,1,4,2,3.0,2
Factual,Sample prompt about Factual 27,Gemini,Response by Gemini to prompt 27,1,2,1,3,4.17,5
Factual,Sample prompt about Factual 27,Perplexity,Response by Perplexity to prompt 27,0,3,2,5,4.29,3
Factual,Sample prompt about Factual 27,DeepSeek,Response by DeepSeek to prompt 27,0,5,2,3,2.65,1
Ambiguous,Sample prompt about Ambiguous 28,ChatGPT,Response by ChatGPT to prompt 28,0,4,3,5,2.21,3
Ambiguous,Sample prompt about Ambiguous 28,Gemini,Response by Gemini to prompt 28,0,2,3,3,4.29,2
Ambiguous,Sample prompt about Ambiguous 28,Perplexity,Response by Perplexity to prompt 28,1,1,4,5,2.63,2
Ambiguous,Sample prompt about Ambiguous 28,DeepSeek,Response by DeepSeek to prompt 28,0,4,5,4,2.57,2
Creative,Sample prompt about Creative 29,ChatGPT,Response by ChatGPT to prompt 29,1,1,5,1,2.99,5
Creative,Sample prompt about Creative 29,Gemini,Response by Gemini to prompt 29,0,5,5,2,1.68,3
Creative,Sample prompt about Creative 29,Perplexity,Response by Perplexity to prompt 29,0,1,5,4,4.42,2
Creative,Sample prompt about Creative 29,DeepSeek,Response by DeepSeek to prompt 29,0,1,1,3,2.06,3
